tripduration,starttime,,,start station name,,,,end station name,,,bikeid,usertype,birth year,gender
695,2013-06-01 0:00,,,Broadway & W 24 St,,,,9 Ave & W 18 St,,,19678,Subscriber,1983,1
693,2013-06-01 0:00,,,Broadway & W 24 St,,,,9 Ave & W 18 St,,,16649,Subscriber,1984,1
2059,2013-06-01 0:00,,,Hicks St & Montague St,,,,Hicks St & Montague St,,,19599,Customer,NULL,0
123,2013-06-01 0:01,,,E 15 St & Irving Pl,,,,Washington Park,,,16352,Subscriber,1960,1
1521,2013-06-01 0:01,,,Little West St & 1 Pl,,,,State St & Smith St,,,15567,Subscriber,1983,1
2028,2013-06-01 0:01,,,W 37 St & 5 Ave,,,,Hicks St & Montague St,,,18445,Customer,NULL,0
2057,2013-06-01 0:02,,,Broadway & E 14 St,,,,S 5 Pl & S 5 St,,,15693,Subscriber,1991,1
369,2013-06-01 0:03,,,9 Ave & W 22 St,,,,8 Ave & W 31 St N,,,16100,Subscriber,1981,1
1829,2013-06-01 0:03,,,Stanton St & Chrystie St,,,,Hancock St & Bedford Ave,,,15234,Subscriber,1984,1
829,2013-06-01 0:04,,,9 Ave & W 14 St,,,,Mercer St & Spring St,,,16400,Subscriber,1987,1
1316,2013-06-01 0:04,,,W 54 St & 9 Ave,,,,Cadman Plaza West & Montague St,,,19781,Subscriber,1960,1
1456,2013-06-01 0:04,,,Henry St & Grand St,,,,S 5 Pl & S 5 St,,,18886,Customer,NULL,0
386,2013-06-01 0:05,,,DeKalb Ave & S Portland Ave,,,,Fulton St & Grand Ave,,,19039,Subscriber,1981,1
924,2013-06-01 0:05,,,Broadway & W 29 St,,,,8 Ave & W 31 St N,,,16608,Customer,NULL,0
1233,2013-06-01 0:06,,,E 33 St & 2 Ave,,,,Division St & Bowery,,,14761,Subscriber,1987,1
512,2013-06-01 0:03,,,Murray St & West St,,,,Shevchenko Pl & E 7 St,,,19080,Subscriber,1979,2
505,2013-06-01 0:03,,,Murray St & West St,,,,Greenwich St & W Houston St,,,16798,Subscriber,1984,1
833,2013-06-01 0:07,,,E 20 St & Park Ave,,,,E 20 St & Park Ave,,,19072,Customer,NULL,0
1818,2013-06-01 0:08,,,Lispenard St & Broadway,,,,Broadway & W 51 St,,,20349,Customer,NULL,0
682,2013-06-01 0:08,,,Broadway & W 29 St,,,,8 Ave & W 31 St N,,,20176,Customer,NULL,0
899,2013-06-01 0:09,,,W 26 St & 8 Ave,,,,W 26 St & 8 Ave,,,15539,Subscriber,1967,1
626,2013-06-01 0:09,,,W 4 St & 7 Ave S,,,,University Pl & E 14 St,,,17122,Subscriber,1982,1
219,2013-06-01 0:10,,,E 58 St & 3 Ave,,,,Christopher St & Greenwich St,,,16301,Subscriber,1977,1
